Extracurricular Activities,Previous Scores,Hours Studied,Sleep Hours,Sample Question Papers Practiced,Performance Index
Yes,49,1,9,4,25
No,50,3,5,4,27
Yes,70,5,9,6,61
No,51,3,7,6,34
No,99,1,6,9,76
No,70,5,8,6,57
No,53,7,5,9,45
Yes,90,7,4,1,76
Yes,83,9,8,7,83
Yes,71,3,5,0,50
No,89,7,8,1,81
No,92,1,4,6,66
Yes,56,4,8,3,38
No,74,4,8,9,56
No,40,5,4,9,25
No,68,7,4,8,56
Yes,90,7,4,8,82
Yes,43,4,7,2,23
Yes,62,7,9,2,56
No,67,3,9,8,46
Yes,55,6,4,9,43
Yes,51,2,9,7,30
Yes,92,9,8,0,92
No,60,5,4,5,45
No,84,6,5,6,70
No,56,4,4,7,36
No,79,7,4,1,71
No,52,9,9,0,49
Yes,91,7,6,3,82
Yes,97,1,8,0,71
No,71,1,9,1,43
No,76,9,8,2,77
Yes,89,9,5,3,86
No,54,4,7,5,34
No,51,9,6,7,49
No,88,3,5,8,69
No,96,7,5,3,84
No,54,6,8,0,41
Yes,73,8,6,4,68
Yes,45,9,8,4,44
No,56,5,7,8,41
No,87,1,8,5,58
Yes,88,3,4,4,68
No,96,8,8,9,94
Yes,59,6,4,9,47
No,48,8,5,4,40
Yes,98,9,7,7,100
Yes,44,4,9,0,23
No,62,1,4,4,36
No,72,1,7,0,47
Yes,77,4,8,6,60
No,95,7,9,6,83
Yes,53,2,8,9,33
No,56,3,5,7,36
No,96,1,8,6,74
No,58,5,4,8,42
Yes,72,1,5,7,47
Yes,40,8,7,7,31
No,52,1,5,2,26
Yes,85,1,7,9,58
No,66,2,6,3,42
Yes,45,2,4,3,18
No,98,6,4,0,85
Yes,45,7,7,5,36
Yes,72,5,8,1,58
Yes,69,1,9,8,45
Yes,85,1,8,0,60
Yes,74,3,6,0,56
Yes,62,2,7,9,42
No,49,5,6,5,33
No,90,6,7,0,77
Yes,58,7,6,2,51
No,90,4,7,9,72
Yes,67,7,4,1,57
No,62,8,6,8,53
No,43,1,6,4,16
No,59,6,7,5,45
No,58,8,5,1,49
Yes,81,5,5,7,67
No,66,4,4,5,49
No,96,2,8,7,73
No,73,6,8,7,65
Yes,43,6,4,0,27
No,95,1,8,6,72
Yes,77,9,9,1,74
Yes,46,6,9,7,38
No,87,3,9,1,67
Yes,46,4,9,3,28
No,89,4,7,1,73
No,91,3,5,6,72
No,65,3,4,4,42
No,65,3,7,8,47
No,93,4,9,4,77
No,58,7,4,7,49
No,48,4,5,1,30
Yes,59,9,8,2,54
Yes,81,1,7,5,56
No,84,8,5,6,75
No,89,7,4,9,78
Yes,55,2,6,7,32
No,93,8,7,2,89
Yes,56,1,4,6,29
Yes,61,9,4,7,57
No,52,9,5,9,48
No,51,2,4,5,27
Yes,49,7,7,3,38
Yes,40,3,9,5,18
No,71,7,7,8,66
No,69,9,4,2,65
Yes,47,4,5,1,27
Yes,60,1,7,4,33
Yes,61,2,6,6,37
No,57,1,9,2,29
No,41,5,8,4,26
No,87,5,5,3,72
Yes,83,7,5,6,77
Yes,48,9,8,1,45
No,42,9,8,6,41
Yes,93,3,7,1,73
Yes,65,3,4,2,43
Yes,60,3,4,4,39
Yes,69,4,6,6,54
Yes,67,8,9,5,62
No,75,6,4,6,63
No,65,8,6,5,59
No,73,1,6,0,46
No,47,8,5,4,42
No,49,4,5,0,30
Yes,87,1,9,6,63
Yes,94,8,7,3,89
Yes,82,4,8,4,62
No,89,6,8,0,77
Yes,93,8,9,7,88
Yes,53,4,6,3,35
Yes,79,3,9,2,60
No,94,9,8,0,92
Yes,54,3,6,3,38
Yes,56,9,8,2,56
No,92,2,7,7,70
No,57,2,5,8,35
Yes,71,2,5,4,47
No,77,6,6,8,66
Yes,62,3,9,0,43
No,85,9,8,6,81
Yes,62,4,4,6,43
Yes,74,1,7,5,46
No,78,4,8,3,61
No,54,1,4,8,27
No,92,5,7,2,77
No,63,4,7,0,43
Yes,67,8,5,1,60
No,55,8,6,2,48
Yes,55,7,8,1,47
Yes,79,3,7,5,60
Yes,78,1,8,6,53
No,45,1,7,4,19
Yes,41,3,9,4,23
Yes,93,6,5,6,81
No,52,7,6,5,41
Yes,83,6,4,7,71
Yes,86,6,4,8,75
Yes,98,6,9,1,89
No,48,3,5,1,28
Yes,73,6,7,0,60
Yes,56,8,5,6,54
Yes,66,2,6,3,41
No,68,5,4,8,52
No,76,1,8,5,53
No,82,1,4,6,52
Yes,61,5,6,6,47
Yes,90,3,7,7,71
Yes,63,4,5,3,42
Yes,46,3,4,2,21
Yes,73,1,4,2,48
No,87,1,8,9,64
Yes,51,5,5,7,38
Yes,62,6,8,2,49
No,54,3,8,7,35
No,72,9,7,1,73
Yes,96,5,4,4,81
No,52,8,9,4,47
No,62,1,5,6,36
No,77,5,7,4,63
Yes,71,3,9,8,52
No,84,1,7,2,58
Yes,89,4,7,8,77
No,74,5,6,0,58
Yes,40,7,6,2,33
Yes,86,1,7,3,67
Yes,97,3,6,5,76
No,84,2,5,9,62
No,44,9,4,7,37
No,96,6,9,6,86
Yes,52,3,5,7,37
No,93,8,4,5,88
No,44,8,6,5,38
Yes,99,2,9,5,76
No,71,6,5,2,57
Yes,90,7,8,9,82
No,60,2,7,3,35
Yes,63,2,4,5,41
Yes,99,1,4,6,75
No,57,8,8,2,51
Yes,60,1,8,3,34
No,93,9,7,5,92
No,49,6,6,0,39
No,63,7,5,6,56
No,79,7,5,0,69
Yes,86,3,5,9,69
Yes,60,2,6,8,40
Yes,64,9,7,9,63
No,91,8,5,8,86
No,99,7,4,8,89
Yes,96,9,4,3,94
Yes,98,4,4,1,79
No,62,4,8,6,44
No,61,1,8,3,33
No,43,8,6,4,36
Yes,73,3,5,0,50
No,95,7,8,9,94
Yes,45,2,4,5,22
No,67,2,8,6,44
Yes,70,7,4,2,60
No,74,6,5,9,64
Yes,78,3,6,1,58
Yes,81,9,7,9,78
Yes,62,6,7,6,51
No,45,6,4,0,30
Yes,55,1,8,1,29
Yes,41,4,8,2,22
No,63,6,4,3,51
Yes,56,6,5,4,45
Yes,84,5,4,3,70
No,40,1,5,9,10
Yes,45,8,6,2,38
No,44,5,6,0,30
Yes,96,5,4,6,82
No,84,7,6,9,74
Yes,99,4,8,5,87
Yes,94,6,5,1,77
Yes,89,4,7,1,72
No,68,3,7,2,51
Yes,51,7,6,7,40
Yes,78,8,5,7,72
No,86,4,8,9,68
No,42,2,7,9,22
No,87,3,8,9,67
Yes,40,1,8,9,18
Yes,66,8,7,7,64
Yes,87,3,7,6,66
No,63,7,6,1,50
No,83,5,5,0,68
Yes,58,5,4,5,44
Yes,98,7,5,7,90
No,47,9,4,0,41
No,94,5,7,2,83
No,83,1,8,0,57
Yes,86,1,5,9,64
No,41,2,8,8,18
No,69,6,5,6,62
No,69,9,9,7,66
No,88,8,5,8,85
Yes,78,5,8,2,62
No,84,1,9,9,62
Yes,71,7,6,1,62
Yes,40,5,7,5,26
No,77,6,6,4,66
No,52,7,6,3,43
Yes,50,3,5,5,30
No,49,3,7,5,25
Yes,87,5,9,2,77
No,98,6,5,1,88
Yes,65,9,4,8,62
Yes,95,5,5,7,82
Yes,94,1,9,3,73
No,59,4,8,5,44
Yes,56,5,5,2,40
Yes,56,5,4,7,39
No,43,7,5,2,34
No,44,4,9,1,27
Yes,99,1,4,6,73
Yes,62,5,7,2,46
No,85,7,9,8,78
Yes,91,6,5,2,80
No,49,5,4,7,33
No,85,4,9,1,68
No,67,2,7,8,45
Yes,72,4,8,0,56
No,82,3,6,2,58
Yes,65,1,4,1,37
Yes,94,8,8,6,88
No,89,5,7,4,75
No,87,4,8,7,70
No,68,8,5,1,62
No,66,7,6,7,57
Yes,57,2,4,6,32
Yes,79,1,9,4,53
No,99,4,7,1,82
Yes,49,8,6,9,41
No,97,2,7,6,75
Yes,81,3,8,9,63
Yes,44,1,7,3,17
Yes,49,1,7,3,24
No,89,3,8,7,69
Yes,60,5,8,5,47
Yes,63,3,6,8,43
Yes,77,1,4,1,48
Yes,42,1,8,4,17
No,79,8,6,5,75
Yes,70,2,7,7,54
No,80,3,7,3,59
No,76,2,9,6,56
Yes,41,3,5,6,20
Yes,41,7,8,3,34
No,78,1,6,0,54
No,88,8,9,2,83
No,81,2,6,1,59
Yes,83,3,4,2,63
Yes,73,9,9,4,72
No,81,7,6,0,70
No,59,4,8,4,41
No,72,5,6,1,54
Yes,43,2,5,3,21
Yes,84,8,7,5,83
No,83,4,7,8,64
Yes,50,9,9,9,51
No,81,5,6,5,66
Yes,86,9,6,9,83
No,44,4,6,1,26
Yes,64,5,6,7,49
Yes,88,9,5,4,85
Yes,99,8,8,8,95
Yes,76,3,5,9,56
Yes,73,1,5,8,50
Yes,48,3,5,3,23
Yes,45,4,7,0,26
No,57,2,5,8,30
No,53,1,6,8,28
No,58,7,5,7,48
Yes,53,8,6,4,46
Yes,79,7,9,4,73
Yes,56,5,8,9,45
No,99,1,7,5,76
No,74,7,8,0,71
No,68,7,9,8,60
No,81,9,8,4,77
No,56,3,7,6,36
No,98,9,6,7,96
Yes,82,1,9,4,62
No,47,1,9,2,22
Yes,40,4,6,5,21
No,84,9,6,6,79
No,92,6,7,3,82
Yes,75,3,5,8,55
Yes,46,1,4,3,22
Yes,85,4,5,9,70
No,44,9,5,1,37
No,63,3,8,8,42
Yes,67,9,4,3,64
No,82,7,6,3,72
Yes,56,4,5,9,42
No,76,3,7,0,56
No,59,5,5,1,43
No,42,5,6,2,24
Yes,76,3,5,6,55
No,65,9,9,8,64
Yes,54,4,8,4,34
Yes,90,5,8,3,78
Yes,87,4,5,1,71
Yes,47,5,8,6,33
Yes,52,7,7,5,46
Yes,87,9,4,6,86
Yes,42,7,5,7,34
Yes,40,5,7,8,26
Yes,48,7,9,9,44
No,70,5,7,4,53
Yes,80,3,7,4,61
No,93,7,9,3,84
Yes,65,2,6,2,40
No,56,9,5,6,53
No,95,1,5,4,67
No,73,6,5,6,58
No,48,7,4,1,41
No,95,8,7,8,89
No,90,9,5,8,85
Yes,52,2,8,8,33
Yes,44,2,6,4,20
Yes,80,5,9,9,66
Yes,52,5,9,8,38
Yes,40,6,4,0,25
Yes,64,3,9,1,43
No,86,8,6,9,79
Yes,43,1,7,4,16
No,75,6,9,4,67
No,91,4,9,5,80
No,49,1,8,7,26
No,67,7,7,0,57
No,96,9,5,9,91
No,45,4,6,8,29
Yes,66,4,9,3,48
No,95,6,8,7,84
No,51,3,6,4,33
Yes,91,6,4,0,82
Yes,87,7,8,8,81
Yes,42,3,4,7,24
Yes,85,7,9,4,81
Yes,72,3,8,3,54
Yes,49,2,5,7,25
Yes,70,4,6,8,53
No,54,8,6,6,48
Yes,46,9,7,3,40
No,75,7,8,6,66
Yes,53,1,8,5,29
Yes,95,3,4,2,73
No,87,9,8,9,89
Yes,53,1,6,2,27
Yes,42,9,8,0,40
Yes,88,8,7,4,83
Yes,92,1,7,7,69
Yes,85,6,6,5,72
Yes,89,5,6,7,77
Yes,42,6,6,6,32
No,61,5,8,1,49
Yes,58,6,8,7,44
No,74,5,5,3,57
No,51,5,9,4,34
No,93,4,9,7,76
No,44,3,4,4,22
No,49,3,8,4,30
No,80,4,5,5,67
No,72,9,5,6,71
Yes,52,2,7,8,29
Yes,74,9,8,6,74
Yes,90,1,5,5,67
No,71,1,7,9,46
Yes,50,5,4,3,34
No,87,6,7,9,76
No,77,6,4,1,64
Yes,63,3,9,8,46
No,74,7,9,9,68
No,58,9,6,4,58
Yes,45,8,6,4,41
No,79,6,7,2,64
Yes,93,8,6,2,84
No,84,5,8,0,70
No,83,8,7,4,77
Yes,81,4,5,2,60
Yes,74,8,8,1,65
Yes,43,2,7,8,21
No,72,5,9,9,60
No,52,9,4,5,48
Yes,95,4,6,2,77
Yes,75,6,6,6,63
Yes,93,1,6,8,68
No,82,9,7,8,81
No,58,1,8,0,29
Yes,82,5,4,1,66
Yes,51,4,6,7,36
Yes,50,3,8,0,29
No,45,6,5,2,32
Yes,51,2,9,6,31
Yes,66,3,5,7,45
Yes,80,5,4,4,65
No,64,9,6,1,57
No,81,2,5,2,58
Yes,42,8,9,8,38
No,42,2,8,9,22
Yes,59,5,8,6,48
Yes,67,7,5,0,59
Yes,62,8,6,2,58
Yes,87,1,9,8,62
No,42,6,4,6,30
Yes,81,1,6,1,56
Yes,63,2,7,5,40
No,82,1,5,8,59
Yes,79,5,7,3,65
No,45,9,5,9,43
Yes,59,6,4,1,48
Yes,50,1,6,2,24
Yes,71,1,9,6,51
Yes,99,2,6,3,81
No,66,9,5,6,62
Yes,60,3,8,4,43
No,83,1,7,7,63
No,87,5,9,7,73
No,89,7,9,4,76
Yes,52,6,6,6,43
No,61,1,6,5,34
No,74,5,5,7,57
No,86,5,8,8,72
Yes,61,6,7,4,47
Yes,67,3,8,6,52
No,60,5,9,0,49
No,85,7,8,7,77
Yes,57,5,5,2,41
No,70,5,8,0,56
No,99,5,7,5,89
No,85,3,9,7,65
Yes,76,1,4,2,49
No,60,5,9,0,48
No,53,9,4,2,47
Yes,64,1,7,4,37
No,66,3,9,7,48
Yes,79,4,9,8,61
Yes,99,1,9,8,77
Yes,99,1,9,3,75
No,62,8,5,7,57
No,70,2,6,4,45
No,86,8,9,2,82
No,99,7,5,4,90
No,68,2,7,1,42
No,86,6,9,5,74
No,69,6,8,0,60
No,90,3,9,5,73
Yes,65,2,9,4,40
No,59,1,4,8,32
No,77,6,8,6,67
Yes,58,5,9,5,46
No,66,9,9,6,65
Yes,64,1,9,9,42
No,79,7,5,4,69
No,77,5,7,0,62
Yes,91,5,4,8,75
Yes,62,2,9,4,40
No,68,3,7,3,43
Yes,54,7,4,5,42
No,98,6,4,4,84
No,42,2,4,0,15
No,49,6,9,1,39
No,54,2,5,3,26
No,95,2,9,7,73
No,55,2,9,4,34
Yes,56,3,7,6,34
Yes,58,2,6,1,37
Yes,50,4,6,7,34
No,87,9,6,4,85
Yes,44,6,7,3,31
No,44,1,8,8,18
Yes,97,8,7,5,92
No,53,7,4,3,44
No,89,3,9,7,72
No,65,1,8,2,40
No,47,5,4,9,31
No,44,4,9,1,25
Yes,46,8,9,6,44
No,55,1,4,3,27
Yes,94,1,7,3,66
No,53,4,6,9,34
No,76,8,8,8,70
No,95,5,9,1,81
Yes,80,2,5,0,56
No,43,6,9,6,30
Yes,75,5,6,7,60
No,87,2,9,2,64
Yes,95,3,5,1,74
Yes,56,9,7,3,52
Yes,86,7,9,1,84
No,75,7,8,1,66
No,45,6,7,4,32
Yes,55,8,5,9,47
No,68,4,4,4,51
No,75,8,9,7,67
No,77,4,7,8,57
Yes,76,8,9,1,71
Yes,87,9,8,0,86
No,96,3,9,2,77
Yes,87,3,7,5,72
No,49,2,6,4,24
No,80,3,7,7,60
Yes,75,3,5,7,55
Yes,68,5,7,1,54
No,53,5,8,8,39
No,43,2,7,3,19
No,83,6,7,0,68
Yes,95,5,8,1,83
Yes,81,6,7,5,72
No,75,1,8,4,49
No,89,5,5,6,74
Yes,84,9,8,8,86
No,52,2,5,5,26
Yes,85,1,5,5,60
Yes,57,9,8,1,54
No,72,9,7,6,73
No,60,9,9,1,61
Yes,55,6,6,6,45
No,54,8,9,7,57
Yes,93,1,8,0,68
Yes,96,4,7,8,72
Yes,44,1,5,7,17
No,45,8,4,8,37
No,77,1,6,4,54
No,42,3,9,3,22
Yes,87,4,7,0,73
Yes,51,8,6,8,47
Yes,75,6,4,3,63
Yes,72,7,4,3,63
No,75,8,4,3,68
No,72,2,9,1,52
No,70,8,8,3,64
Yes,60,3,6,1,38
Yes,66,7,8,7,60
No,66,3,4,6,45
Yes,47,7,7,9,39
No,95,2,4,1,75
Yes,76,6,8,1,67
Yes,71,3,4,1,48
Yes,65,3,4,0,44
Yes,41,9,8,5,37
Yes,51,7,8,5,41
No,61,5,7,0,47
No,56,7,8,0,45
No,46,9,7,5,43
Yes,82,1,5,5,54
No,43,7,5,3,32
No,76,6,8,2,64
Yes,77,9,4,8,74
Yes,71,1,6,5,50
No,50,4,4,0,33
No,40,9,8,2,36
No,64,4,7,0,45
No,81,3,4,2,58
No,91,9,5,1,85
Yes,63,2,9,4,41
No,92,4,8,2,78
No,82,6,4,6,63
No,95,2,9,7,76
No,56,8,4,6,51
No,47,8,7,1,36
No,98,1,7,9,74
Yes,84,3,7,9,65
Yes,66,9,9,6,65
Yes,91,5,6,9,79
No,57,6,9,2,46
No,66,4,8,6,47
Yes,61,2,8,0,42
No,55,8,5,1,46
No,41,6,5,9,34
No,44,5,8,0,27
Yes,57,9,4,8,52
Yes,42,1,8,1,17
Yes,66,5,6,1,53
No,93,6,5,5,84
Yes,56,5,5,6,39
Yes,55,6,9,1,44
Yes,45,6,5,3,36
No,90,7,8,2,81
Yes,46,4,5,4,30
Yes,89,8,5,8,80
No,53,7,9,1,41
Yes,77,9,8,4,77
No,79,7,4,7,69
No,54,3,5,5,34
Yes,86,3,5,3,64
Yes,86,8,5,9,78
Yes,87,5,6,7,74
No,72,4,8,2,52
Yes,82,8,5,3,76
Yes,66,6,6,8,53
Yes,68,2,4,4,46
No,96,4,4,5,77
No,76,4,9,1,59
No,44,6,9,8,35
Yes,68,6,9,7,61
Yes,71,1,6,6,46
No,99,8,4,8,97
Yes,92,6,9,4,86
Yes,45,3,7,4,24
No,41,9,9,8,37
No,45,2,4,4,18
No,85,8,7,8,84
Yes,82,3,6,0,59
Yes,43,5,7,9,29
Yes,95,6,4,9,84
No,68,6,5,7,60
No,98,4,7,2,78
Yes,64,3,4,7,46
No,48,4,9,4,31
No,95,1,5,1,68
Yes,42,4,6,8,25
No,65,1,6,3,37
Yes,87,1,8,6,62
No,82,6,6,7,69
Yes,66,5,8,6,50
No,75,4,6,5,55
Yes,71,3,6,6,54
No,40,1,6,3,12
No,96,6,8,9,88
No,92,2,9,0,69
No,93,8,8,4,88
No,55,5,7,7,41
Yes,90,7,4,9,83
Yes,87,2,4,5,62
Yes,50,8,9,4,45
No,65,2,4,1,42
Yes,79,4,6,9,65
No,94,1,9,4,73
No,40,5,4,9,23
Yes,65,9,8,2,61
Yes,67,1,7,1,41
No,92,9,5,2,85
No,97,8,7,3,93
Yes,48,6,4,1,35
Yes,99,7,9,3,92
No,98,3,4,3,79
No,83,1,8,5,57
Yes,61,5,7,4,49
No,47,2,8,6,28
No,97,5,8,6,85
Yes,88,8,5,2,82
Yes,81,9,8,8,80
No,66,2,8,6,41
No,78,3,5,6,57
Yes,58,3,6,1,41
No,64,1,6,9,43
Yes,77,8,9,2,73
No,60,6,5,2,46
Yes,63,8,9,5,61
No,63,9,9,3,61
No,99,5,8,3,87
No,99,3,9,0,78
Yes,58,5,4,5,43
Yes,89,5,7,7,75
Yes,86,5,4,7,72
No,41,3,4,7,18
No,53,4,8,4,36
Yes,92,9,7,9,92
Yes,71,9,9,5,71
No,81,2,7,4,58
No,71,8,9,3,69
No,67,8,6,3,58
No,87,7,5,3,74
Yes,78,8,8,3,72
Yes,79,3,9,5,61
No,81,6,9,5,74
No,86,1,7,4,60
No,79,7,8,8,70
Yes,52,1,9,7,27
Yes,51,9,6,9,49
No,47,1,4,5,17
No,54,1,9,8,34
No,65,7,7,4,51
No,51,2,6,9,27
No,82,5,8,3,67
No,90,8,9,5,84
Yes,85,8,6,3,81
Yes,66,3,6,7,45
Yes,57,7,6,6,50
No,84,3,6,4,67
No,75,6,6,9,67
No,88,6,6,5,77
Yes,90,3,5,6,70
No,66,7,8,1,59
Yes,48,3,4,8,27
No,94,8,8,6,88
No,78,4,7,7,60
No,40,1,7,4,14
Yes,46,4,8,2,27
Yes,65,7,6,1,54
Yes,46,4,5,1,32
No,91,6,4,2,79
Yes,46,9,9,0,44
No,47,1,9,0,20
No,55,5,6,6,42
Yes,42,7,8,9,33
Yes,84,1,9,7,58
No,49,4,8,5,31
No,89,6,5,6,75
No,46,2,5,0,22
No,60,5,8,0,46
Yes,92,1,6,8,68
Yes,76,6,6,4,66
Yes,70,6,6,6,60
No,62,4,9,5,44
No,96,8,4,3,90
No,66,4,4,0,47
Yes,95,8,6,3,88
No,61,8,8,9,56
No,78,5,5,9,66
Yes,96,4,7,7,78
Yes,66,2,5,0,43
No,93,3,5,1,72
Yes,88,3,7,7,69
No,43,4,6,1,24
Yes,63,4,5,9,47
No,62,5,7,8,45
Yes,87,4,9,2,72
Yes,58,8,8,2,51
Yes,81,6,8,5,73
Yes,42,6,8,2,28
No,66,8,6,8,56
No,42,7,5,7,29
Yes,67,8,5,3,60
No,56,2,4,5,28
Yes,70,9,8,7,66
Yes,49,1,6,3,21
No,88,8,7,4,84
No,61,4,6,6,42
No,69,4,5,7,51
No,88,5,8,6,74
No,60,8,4,7,50
No,75,5,9,3,62
No,92,8,6,0,90
Yes,62,1,4,5,32
No,77,9,5,4,71
Yes,51,6,7,3,37
No,64,3,6,1,42
No,93,8,9,0,85
Yes,96,9,5,8,96
Yes,59,6,8,1,51
Yes,88,7,6,8,82
Yes,88,1,4,5,64
No,81,5,6,5,67
No,46,5,5,1,32
Yes,68,4,5,5,50
Yes,87,6,4,2,73
No,68,7,9,6,62
No,52,9,5,9,48
Yes,42,1,6,3,20
No,41,6,9,8,33
No,55,7,4,4,43
Yes,69,3,5,9,49
Yes,77,8,5,2,70
Yes,45,5,6,0,28
Yes,84,9,5,0,82
No,46,5,6,3,29
Yes,44,9,8,9,42
No,95,4,9,9,79
No,46,9,6,3,41
No,73,5,7,8,61
No,71,9,5,7,69
Yes,88,3,8,3,68
No,52,4,9,5,38
Yes,69,9,4,6,67
No,64,6,7,9,54
Yes,60,2,4,7,39
No,99,7,7,3,93
No,98,2,8,0,76
Yes,60,2,9,4,39
Yes,67,1,8,0,38
Yes,87,3,8,3,69
Yes,97,6,7,6,88
No,59,8,6,6,54
No,73,9,9,0,68
No,44,7,4,8,33
No,57,4,6,1,40
No,99,6,6,4,87
Yes,78,5,5,5,64
Yes,82,8,4,0,70
No,96,1,7,1,70
Yes,96,1,5,6,72
No,50,6,5,5,38
No,93,2,8,5,71
Yes,56,5,7,5,40
No,87,1,6,6,58
Yes,84,7,9,9,77
No,61,1,6,8,38
Yes,76,4,6,8,60
No,59,9,8,1,57
No,87,1,6,1,63
Yes,99,4,4,4,82
No,93,6,6,9,84
No,93,6,6,6,84
Yes,87,8,4,2,77
Yes,87,1,8,2,61
Yes,85,7,5,3,73
No,45,1,7,2,15
Yes,73,7,8,2,64
Yes,53,3,6,7,33
Yes,87,8,5,6,78
No,62,3,7,6,43
Yes,59,1,7,9,34
No,52,8,7,1,48
No,86,3,4,8,66
Yes,83,2,4,5,60
No,80,1,5,2,53
No,71,3,6,8,51
No,65,2,5,8,43
No,89,2,6,5,68
No,92,6,8,9,80
Yes,53,1,7,5,26
Yes,91,2,7,7,70
Yes,96,6,4,7,85
No,75,3,8,5,57
Yes,47,4,9,6,30
No,79,1,8,3,56
No,61,8,6,0,53
No,61,7,8,3,52
No,55,7,4,7,47
Yes,66,3,6,7,48
No,95,3,5,1,78
Yes,99,2,6,6,79
Yes,99,1,5,0,75
No,49,7,9,1,40
Yes,64,7,6,7,59
Yes,70,2,7,9,49
Yes,60,7,9,3,48
No,66,8,5,2,60
No,56,1,4,1,29
No,72,9,9,5,68
Yes,70,7,9,3,63
Yes,89,3,9,2,71
No,81,8,5,2,76
No,65,7,5,9,57
Yes,60,8,6,2,54
No,75,6,7,7,61
No,40,9,9,8,34
Yes,43,5,6,8,32
Yes,43,3,6,4,23
No,65,3,7,0,44
No,43,1,6,9,18
No,88,8,7,4,82
No,48,2,4,0,18
Yes,69,3,7,8,52
No,90,8,8,9,88
No,84,8,7,7,78
Yes,43,4,7,6,26
Yes,44,4,8,1,26
Yes,84,5,7,1,74
Yes,62,6,5,3,52
Yes,55,5,6,8,40
Yes,61,7,6,8,54
Yes,76,2,4,7,51
No,47,7,4,4,35
No,87,7,8,6,79
Yes,72,1,5,8,45
No,94,7,4,2,81
No,99,5,6,3,87
Yes,77,3,4,1,56
Yes,82,3,4,8,65
Yes,55,4,7,6,38
Yes,44,2,4,5,17
Yes,55,2,8,4,35
No,46,1,6,6,20
No,90,5,8,2,75
Yes,40,4,8,4,26
Yes,48,2,9,1,23
No,57,3,5,4,38
No,84,7,9,6,78
No,97,7,9,9,91
Yes,86,4,7,6,67
Yes,42,5,8,8,31
No,63,5,5,2,49
Yes,67,6,6,7,57
No,49,9,6,4,45
Yes,48,2,5,6,22
Yes,52,5,8,0,35
No,87,3,8,0,65
No,74,4,7,3,53
Yes,93,6,7,4,79
No,62,8,9,9,57
Yes,86,1,6,2,58
No,56,8,7,5,50
No,85,7,5,2,75
Yes,46,1,6,4,17
Yes,91,2,8,0,70
Yes,55,3,6,2,36
No,92,1,4,6,61
No,79,9,6,2,78
Yes,75,8,7,4,71
No,59,2,5,6,36
Yes,63,9,8,1,63
Yes,86,7,8,2,78
Yes,44,9,7,3,39
Yes,84,6,7,4,70
Yes,45,6,7,8,34
No,67,4,4,8,49
No,98,2,5,3,71
Yes,44,7,4,8,34
No,88,5,7,3,77
Yes,78,6,5,1,67
